Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
141.2013833546,132.808198325,123.5337074542,1.0750766011,0.940558762,0.8748760424,-247736,1,13,0.9747400554,0.9931030475,0.9573262407
134.5728862557,132.4576703738,117.1592874821,1.1305776368,0.9842820055,0.8706009861,-1735,27,-3679,0.9402481092,0.9680143498,0.8939048369
138.782188631,132.5790373296,113.6345091864,1.1667145683,0.9553029725,0.8187975007,-11138,2,34,0.9558459127,0.9797496462,0.9270119917
139.6692477374,138.0701567464,119.3646738266,1.1567087005,0.9885508727,0.8546238758,-4358,-149181,-1148163,0.9580545469,0.9575058292,0.9481275593
115.1407814933,112.1888786861,104.1310382245,1.0773817355,0.9743626648,0.9043801586,-1055,41,59,0.9902138601,0.9937415326,0.9854144929
117.946961433,118.609612781,106.0984620589,1.1179201892,1.0056182147,0.8995438354,-48835,-64123,-43518,0.9383122281,0.9121107721,0.8674324086
96.9503263674,93.3035255538,78.5144073277,1.1883618399,0.9623848526,0.809841599,-133071,-134439,-92589,0.9475782545,0.9311328462,0.8828550016
129.9714073448,130.6519036948,125.1497582409,1.0439644913,1.0052357389,0.9629022321,-526510,-1959598,-1951697,0.9828976917,0.981202132,0.9644433776
115.7267290207,116.3743196158,107.4268624016,1.0832888257,1.0055958602,0.92828047,-1850974,-1864778,-1843791,0.9903675851,0.9779536707,0.9795139385
101.6101691377,101.7881801705,89.9480210503,1.1316333476,1.0017519017,0.8852265655,-1222658,-1244509,-1214376,0.9868703945,0.9628200304,0.965379406
111.1281429343,117.2052928923,98.3338735804,1.1919116844,1.054685967,0.8848692238,-4563,-35669,-1271094,0.9697649938,0.925445811,0.9259383159
133.1205556399,143.014512862,128.0494035502,1.1168698088,1.0743232867,0.961905567,-599871,-262903,-110076,0.9735197801,0.9575789351,0.9662109122
131.4860791659,135.5025555913,119.2854179489,1.1359523898,1.0305467807,0.9072094834,-1267871,-1316835,-1294460,0.9584212783,0.9425458357,0.9533626307
115.0827939082,114.2107789519,94.0860432809,1.2138971411,0.9924227165,0.8175509134,-334801,-379518,-286205,0.9461891165,0.9197292358,0.8578548113
125.584898184,130.2364784539,106.3508494035,1.2245927436,1.0370393283,0.8468442539,-488325,-592486,-498873,0.9411777165,0.9042439459,0.8930641309
63.2260447735,59.0976888802,41.2134213378,1.4339428022,0.9347048213,0.6518424723,-90622,-38706,-19108,0.940855412,0.9383075023,0.8483471301
99.7367067007,89.6006255951,66.384120008,1.3497298086,0.8983716082,0.6655936636,-186433,-4127,76029,0.9237783164,0.921419106,0.8189006739
116.1401222324,102.2467400245,72.9357909848,1.4018733278,0.880373966,0.6279982282,-340604,-19875,-37466,0.9094531896,0.9156005614,0.7936913371
91.5368490734,79.31034682,55.7882581705,1.42163153,0.8664308158,0.6094622956,-189165,-6616,108768,0.9315358849,0.9344649692,0.8189974099
130.2282663371,122.6735896864,106.8014115793,1.1486139356,0.941988964,0.8201092941,-395473,-446807,-283087,0.9481071546,0.9427846339,0.9332760193
118.3656539644,117.2436877479,102.1216870108,1.1480782504,0.9905211843,0.8627645232,-743876,-778172,-658358,0.9250344709,0.9591875637,0.9005647441
118.2438139124,125.4518634373,104.916245269,1.1957334454,1.0609592103,0.887287392,-208852,-237166,-184782,0.9579843483,0.9101171366,0.9230956416
115.6592971808,126.2946344501,103.8990228704,1.2155517055,1.0919540195,0.8983196803,-117426,-190559,-113154,0.9474751371,0.9041406392,0.9297293962
74.6204685166,68.2198446311,57.6832336675,1.1826633199,0.9142242871,0.773021596,-14473,-2996,7502,0.9594262938,0.980308629,0.9340155057
151.4962386542,135.3372790354,114.6145688676,1.1808034561,0.8933375524,0.7565505909,-1329544,-621582,-43200,0.9384026483,0.9823022487,0.9089466079
128.1801042949,131.9723380031,111.3568416005,1.1851300388,1.0295851976,0.8687529333,-353805,-412102,-216404,0.9675643242,0.9554696284,0.9496995197
119.0927588484,124.1880221648,106.5494183447,1.1655438771,1.0427839893,0.894675876,-342260,-380270,-307251,0.9656188125,0.9221082363,0.9181212935
91.8666394447,98.0625835891,83.3197503899,1.1769428392,1.0674449853,0.9069641699,-15053,-29978,-12475,0.97290194,0.8835684911,0.8935891388
117.9506337649,119.0264390643,105.9605135544,1.1233093826,1.0091208098,0.8983462841,-11209,7110,-868832,0.9815195967,0.9432313414,0.9378301602
136.5238791168,132.160969785,101.4105489627,1.3032270423,0.9680428848,0.7428044795,-897912,-646570,-427440,0.9164655008,0.9390224086,0.9205907747
120.6029759533,125.8922039877,107.3124521643,1.1731369608,1.04385653,0.8897993712,-285584,-425830,-225811,0.9444803213,0.9325434186,0.9475687763
134.3910215757,140.0599186827,118.2728674995,1.1842100529,1.0421821119,0.8800652463,-370911,-429362,-383504,0.9581363816,0.9254994407,0.9206107666
159.6389900397,135.7939149426,109.3224628033,1.2421410153,0.8506312581,0.6848105389,-47378,-540,-2731,0.9323422826,0.9557960314,0.8312176332
135.2409251975,120.7496539723,98.0990049361,1.2308958083,0.8928484761,0.7253647873,-1397592,-979866,-882914,0.9426423294,0.9638841682,0.9114547593
90.3206113496,77.2928646951,63.7370371119,1.2126836797,0.8557610886,0.7056754395,19536,17243,396766,0.9662112572,0.9690861612,0.8841198952
123.7329637659,122.6896342758,99.1141518261,1.23786192,0.9915678938,0.8010327144,-570571,-626400,-422010,0.9126220372,0.8854888072,0.894905537
126.8585409171,124.677879197,105.613345935,1.1805125393,0.9828102885,0.8325284618,-414778,-1326504,-1362057,0.9500886493,0.9479562033,0.9057225896
137.1187751178,126.8811776219,88.960538212,1.4262636015,0.925337741,0.6487845165,-603617,-227044,-176828,0.9221942507,0.9009935539,0.8180152023
96.4553459882,87.3819906637,72.2365302348,1.2096648383,0.9059320639,0.7489116284,-14892,4785,63570,0.9679261829,0.9694015996,0.9094426236
117.295878095,113.4209782047,89.8530357068,1.2622943378,0.9669647395,0.766037453,-248224,-106081,-36067,0.9198815925,0.9232439242,0.8857680297
121.4086707966,114.2196276446,89.9097398661,1.2703810267,0.9407864108,0.7405545195,-781349,-882048,-604527,0.9368114473,0.9576671692,0.9181536564
156.0203355795,151.1994395173,113.2057811119,1.3356158849,0.969100848,0.7255834997,12967,10486,72653,0.9534320522,0.927986473,0.9148240035
154.4439920057,143.8995281859,108.3234200918,1.3284248971,0.9317262932,0.7013767171,-724165,4136,-5288,0.9279349455,0.918326091,0.8696609741
153.7444568993,142.6061779835,108.2733893356,1.3170935062,0.9275532976,0.7042425562,-764083,-39932,-12490,0.9078780061,0.9117283675,0.8295392065
140.9715860299,142.5714471585,126.1305161418,1.1303485589,1.0113488198,0.89472297,-108620,-178155,-793110,0.9620667209,0.951057479,0.9341512665
128.4235354398,127.8897802321,107.9372549861,1.1848529986,0.9958437898,0.8404787691,-38443,-135899,-474841,0.9607147125,0.9464927354,0.917771034
132.1200799135,129.1043856258,105.2106267326,1.2271040449,0.9771745953,0.7963257879,-1179900,-1414309,-1278098,0.9278460414,0.9448299999,0.9201113717
125.7386082914,122.0679264705,114.1827974753,1.0690570661,0.9708070427,0.9080965586,-1780149,-1919315,-2356925,0.9876849664,0.9874080666,0.9686296709
155.8682522133,136.2747155011,114.9319042143,1.185699623,0.8742942425,0.7373657084,-236236,-69675,-465131,0.9549002407,0.9605128125,0.8883541556
163.6040617899,153.4544549464,134.6927854293,1.1392923122,0.9379623786,0.8232850942,-919002,-1113692,-1709665,0.9544933226,0.9590436684,0.8921328646
131.3884425597,126.7787730663,95.6046959,1.3260726565,0.9649157155,0.727649206,-12345,-88,-1259,0.9430624795,0.9259611875,0.8489847781
155.4450503902,151.3756808773,115.624713397,1.309198323,0.9738211702,0.7438301387,-580011,-59215,-22668,0.9594039074,0.9276807198,0.8820779828
157.9055349309,152.1035914881,117.4571925926,1.2949704325,0.963256871,0.7438446831,-635855,-33987,-2484,0.9381188496,0.9249524735,0.8706176749
155.3542480366,149.1342529944,117.760671297,1.2664181628,0.9599625043,0.7580138476,-82787,-17639,10454,0.9368759533,0.9389176445,0.922153575
128.5636227407,129.7146456676,104.9184453806,1.2363378546,1.0089529441,0.8160818989,-733708,-1749843,-1905517,0.9233115307,0.9501284869,0.9153667312
148.7874678137,150.1142996071,117.7859647713,1.274466783,1.0089176314,0.7916390171,-51243,20524,-1520377,0.9459495093,0.9257419923,0.9215063224
143.3166871818,124.4637716395,99.6430778515,1.2490960167,0.8684527537,0.6952650093,-609785,-76935,-13216,0.9400817,0.9439353843,0.8723806497
158.5124909425,130.2767936399,115.8336320185,1.1246888436,0.8218708372,0.7307539698,-1349066,-1390719,-1374477,0.9565148334,0.984378143,0.9176529928
145.5206462647,150.603473625,117.2201597547,1.2847915746,1.0349285651,0.8055225342,-109539,-263923,-2441980,0.9735325495,0.9392766302,0.9362505478
178.4386144393,132.3789241678,107.0779910273,1.2362850937,0.7418737507,0.600083067,-213345,6651,-292413,0.9126852523,0.9479692998,0.8346213207
160.2848246059,137.0319182198,117.5977927707,1.1652592705,0.8549275863,0.7336801413,-245583,-18400,-10804,0.9261763296,0.9685476064,0.8580018828
112.4574625928,94.9788079814,80.8562723397,1.1746622152,0.8445754136,0.7189942799,-453691,-85971,-282405,0.9393566259,0.9668614673,0.893027589
153.5092303917,143.9728613187,113.1393819304,1.2725264966,0.9378775527,0.7370200583,-283783,-306315,-706120,0.9389088425,0.9218730962,0.8896783297
152.3143431523,142.4324422421,117.8302776868,1.2087932324,0.9351216655,0.7735993554,-895597,-899912,-1330688,0.9134769188,0.9339159399,0.8843044338
141.6244800543,117.6358512972,98.8002728934,1.1906429795,0.830618063,0.6976214342,-223804,-2427,-4139,0.9162792711,0.9569025377,0.8837354953
