Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
122.4491668,112.1184872,104.5967275,1.071911998,0.915632912,0.854205302,-16080,14,-239309,0.876632011,0.969174495,0.816968857
103.8479812,94.20594336,82.34437601,1.1440483,0.907152381,0.79293189,-61110,-10696,-84161,0.985226216,0.982056335,0.961604841
122.5091989,118.1744682,110.7043445,1.067478144,0.9646171,0.903641078,-23,0,4211,0.952286369,0.973147711,0.914730423
111.2011271,108.9352306,96.70843712,1.126429439,0.97962344,0.869671375,-234,-333,-95705,0.937748453,0.950234592,0.889823804
99.0077075,96.44383214,94.46639683,1.020932685,0.974104285,0.954131746,21,10,1983,0.975522278,0.986637298,0.942983639
101.3677863,105.7592589,98.9937082,1.06834324,1.043322171,0.97657956,0,36,-16198,0.93170571,0.959254661,0.873741259
100.6867226,113.3036071,109.6582129,1.033243239,1.125308325,1.089103013,194,0,242,0.948606359,0.977107397,0.926382707
115.5935907,123.8102742,114.2935671,1.083265465,1.071082517,0.988753497,-7,-10998,-317301,0.959015945,0.948811337,0.953822683
126.5888105,129.5591826,122.7876258,1.055148528,1.023464729,0.969972191,-2,-29,-916,0.985875781,0.981982784,0.977310969
129.5397264,128.8415561,115.631918,1.114238683,0.994610377,0.892636732,-34726,-53484,-31561,0.920186722,0.858254512,0.823813573
99.91176404,95.11453382,77.23172486,1.23154745,0.951985332,0.772999312,-134179,-101028,-229617,0.925302105,0.881944775,0.832531128
95.27144254,94.01127599,88.15276496,1.066458619,0.986772883,0.925280048,-6810,-1699,-69765,0.978194069,0.974917066,0.950239159
95.7609138,96.55749503,87.25517871,1.106610478,1.008318438,0.911177382,-682936,-713971,-1059219,0.990773059,0.969667916,0.977039698
76.60317902,76.34509176,62.07993616,1.229786892,0.996630854,0.810409397,77057,661,-804573,0.985635735,0.939063194,0.945700601
88.57682049,95.99940162,69.7732243,1.375877388,1.083798234,0.787714257,-4948,-7075,-464242,0.94602235,0.836900616,0.841285859
81.55425668,84.68663813,73.85397756,1.146676739,1.038408559,0.905580905,-18267,-24603,-80793,0.978226821,0.939024409,0.941432419
89.91341616,92.59565952,78.21964038,1.183790402,1.029831403,0.869944039,-10659,-31765,-332971,0.963432135,0.939722357,0.944854637
78.66207561,75.10307425,55.60734755,1.350596235,0.954755817,0.706914318,-125045,-160953,-886421,0.939709656,0.878642526,0.801643335
82.44377323,86.41804479,62.99192909,1.371890749,1.048205843,0.764059269,-33243,-73797,-595308,0.936257722,0.868801723,0.862438656
89.90251031,83.03959766,48.29146131,1.719550318,0.923662725,0.537153647,-202763,-132237,-950105,0.912505598,0.865316905,0.78280437
85.89163397,81.30389537,61.54970441,1.320946967,0.946586898,0.7165972,-55473,-10397,-542828,0.911623002,0.877695176,0.783782516
97.63148113,91.65241349,67.57411453,1.356324299,0.938758815,0.692134481,-85456,-19144,-638296,0.893636626,0.881626014,0.783077788
84.39551569,79.4267154,57.2011475,1.388551084,0.941124831,0.677774726,-53147,-31520,-986471,0.917641202,0.905022113,0.799691242
94.11831551,91.17487451,80.33274833,1.134965209,0.968726162,0.853529389,-122945,-159998,-162504,0.941807225,0.884987693,0.922642012
78.49067619,78.56485438,70.34933754,1.116781723,1.000945057,0.89627636,-370485,-439532,-448996,0.928015605,0.949769272,0.894922389
77.74759135,82.15417734,58.82081848,1.396685382,1.056678103,0.756561296,-35376,-51975,-1023305,0.953303038,0.858413313,0.889341579
77.14348426,83.70450213,65.65510353,1.274912347,1.08504954,0.851077757,-25755,-52607,-172906,0.945812804,0.846614484,0.897067217
90.136629,80.33674311,68.04201128,1.180693245,0.891277431,0.75487637,-355956,-25708,-574656,0.945732183,0.961730026,0.916327219
105.6590886,90.58805647,77.56595155,1.167884293,0.857361706,0.734115281,-1837,34101,-136954,0.947479706,0.978694936,0.925186766
77.21520892,80.99895698,62.02100011,1.305992435,1.049002627,0.80322259,-56645,-95477,-281527,0.958983916,0.912984816,0.922943365
79.47663335,87.80181012,68.28896601,1.28573934,1.104749993,0.859233251,-18804,-35462,-293716,0.954775876,0.843097288,0.866151235
103.4860666,109.4343279,78.64420299,1.39151169,1.057478861,0.759949678,-36591,-43189,-101355,0.958290723,0.747723535,0.794167582
111.0556559,113.4618428,94.39287925,1.202016971,1.021666496,0.849960126,-305773,-375879,-438785,0.979305225,0.881669414,0.897534596
81.04477361,81.73829087,60.56188096,1.349665657,1.008557211,0.747264484,-48770,-36722,-267678,0.933066732,0.924701618,0.926633766
89.15603735,93.3349724,74.21155666,1.25768784,1.046872149,0.832378366,-96955,-137545,-151954,0.934907643,0.866713605,0.923397113
90.52131677,97.37992429,72.89340269,1.335922329,1.075767872,0.805262288,-51992,-8911,-148974,0.929299029,0.858965983,0.872295134
99.72423111,88.76363093,74.10496973,1.197809421,0.890090903,0.743098933,6342,730,-43796,0.925360773,0.951663411,0.808337572
99.48887808,88.79761452,70.35475178,1.262140968,0.892538103,0.707161978,-31809,-286657,-782842,0.943305609,0.953286559,0.910403836
102.0697164,88.59404101,72.31427866,1.225125143,0.867975773,0.708479275,-8461,2622,-441347,0.951574434,0.952011063,0.834333319
82.73423795,81.92551047,59.2167073,1.383486421,0.990224996,0.71574609,-138232,-208303,-923342,0.895465366,0.825752421,0.872824885
95.11946949,91.40231689,70.86289176,1.289847403,0.960921222,0.744988299,-142433,-21695,-179972,0.92604137,0.905258668,0.84557074
86.55187787,80.48873263,44.98388018,1.789279455,0.929947849,0.519733151,-29071,-36088,-1208487,0.926991281,0.837061975,0.764067845
92.12735438,82.60765602,63.48138356,1.301289471,0.896668059,0.68906118,-5894,4333,-596699,0.957140804,0.942523037,0.864307538
88.01878488,87.65160954,70.32037362,1.24646109,0.995828443,0.798924613,-68913,-36999,-103080,0.906844154,0.86131531,0.853094108
85.0193616,71.05521006,43.9712905,1.615945524,0.835753277,0.517191492,-151586,-167144,-1124168,0.930729871,0.925899574,0.890553941
123.3394253,121.8922036,79.39950958,1.535175774,0.98826635,0.64374801,-6197,-114,-790011,0.940368487,0.883671515,0.887932303
123.4857814,120.9550521,83.10965883,1.455366967,0.979505905,0.673030189,-72010,-803,-665550,0.881696244,0.85800854,0.791537971
126.9100466,123.026858,88.2864485,1.393496512,0.969402039,0.695661619,-57121,-3610,-380419,0.867876317,0.860164793,0.755091654
91.18745236,92.58430617,72.91182273,1.269811982,1.015318487,0.79958175,-8136,-2263,-231876,0.937947484,0.919307938,0.874414615
105.7630729,104.4514731,82.64127145,1.263914159,0.987598698,0.781381149,-7397,-21153,-302447,0.948948349,0.918407347,0.888042031
103.3144032,100.2802219,77.68680889,1.29082689,0.970631575,0.75194558,-137563,-196394,-428779,0.925885807,0.932626355,0.915370865
104.8203793,100.1058202,91.27046949,1.096804046,0.955022496,0.870732105,-367215,-359374,-434693,0.987371893,0.981289407,0.959232196
121.2150942,107.3756714,91.4806583,1.173752719,0.885827563,0.75469692,-943,-373,-118990,0.936149135,0.945895474,0.852681428
102.5413245,93.15614799,77.77921547,1.197699764,0.908474203,0.758515807,-4433,-23170,-49475,0.942283338,0.948518846,0.84690475
134.7706191,142.7468259,101.4501428,1.407063823,1.059183573,0.75276157,-121842,-8088,-165279,0.906411729,0.883861871,0.782269691
122.9177197,127.7079845,91.06532555,1.40237773,1.038971312,0.740864098,-30940,-2085,-253550,0.921184919,0.877851231,0.786160305
131.4523523,134.394432,99.16358548,1.355280079,1.022381339,0.754369045,-119614,-2771,-77363,0.893069802,0.878195203,0.787677576
115.6166531,115.9263971,84.73684156,1.368075502,1.00267906,0.732912079,-46950,-1961,-455845,0.915853737,0.908858937,0.899458719
107.0993769,114.9047556,83.69165692,1.372953528,1.072879777,0.781439252,-86912,-22228,-1144201,0.886652996,0.909385503,0.901995097
98.12058512,101.3788491,72.20109379,1.404117913,1.033206732,0.735840432,-3462,-643,-410805,0.925692864,0.904588127,0.878891843
124.7238843,108.0579428,98.26061484,1.099707578,0.866377305,0.787825166,-160162,-261659,-518756,0.974412594,0.98704376,0.947279472
116.2175388,108.1084067,90.4146023,1.195696314,0.930224541,0.777977259,-72375,-31270,-557754,0.912059912,0.921342935,0.84143298
106.1810717,114.9229966,81.09280999,1.41717862,1.082330351,0.763721902,-28943,-8172,-476041,0.957423045,0.920739887,0.907511845
118.9397061,83.85913063,64.86166594,1.292892025,0.705055809,0.545332321,1914,90,-342617,0.881395625,0.912837937,0.765768233
