Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
104.0024414,103.6191093,97.81895511,1.059294788,0.996314202,0.940544797,4879,1058,1481,0.960541287,0.980547668,0.923548208
103.5076282,106.5824165,102.2155401,1.042722236,1.02970591,0.987516977,4284,1351,1740,0.973535025,0.990197788,0.959216185
104.049774,101.1750638,93.00527417,1.087842219,0.972371779,0.893853688,171,573,1076,0.971293271,0.975625602,0.966471554
113.8172907,113.9345264,109.8642418,1.037048311,1.001030034,0.965268468,1579,801,2621,0.990807404,0.992244659,0.98705958
91.59416727,88.85784135,77.65606152,1.144248622,0.970125544,0.847827584,-21198,-21213,-23632,0.955796937,0.911836338,0.865222046
87.5929742,80.45373607,65.5128252,1.228060854,0.918495311,0.747923287,-111118,-74843,-60241,0.959848982,0.923631051,0.879011323
134.7661636,123.5929001,110.5615154,1.117865468,0.917091478,0.820395212,-253773,-219975,-448674,0.979702865,0.974632462,0.94984118
128.0658191,121.2583616,107.3827307,1.129216596,0.946844071,0.838496419,-833068,-836589,-1013204,0.98834874,0.968542359,0.964491551
109.6816896,107.3610999,92.46386132,1.161114174,0.978842507,0.843020031,-992819,-999913,-983885,0.988498992,0.949460506,0.951599689
106.2400804,103.5170248,74.07613889,1.397440881,0.974368849,0.697252286,241,-5054,7753,0.975600582,0.902320615,0.890408254
98.63225186,100.8594854,90.21062319,1.118044437,1.022581189,0.914615874,-30115,-16391,-32297,0.987848027,0.966939902,0.968188538
114.7913536,108.5456503,90.22234986,1.203090482,0.945590822,0.785968168,-354349,-366997,-667172,0.974843483,0.954533916,0.952541647
92.45194035,86.3276198,64.72643136,1.333730564,0.933756712,0.700108955,-178099,-184079,-100636,0.966245435,0.91560884,0.859237972
97.92963376,94.08915177,67.07421935,1.402761787,0.96078325,0.6849226,-41124,-97720,-386085,0.962883348,0.913746395,0.887705008
76.62337291,70.03695037,43.14477237,1.623300959,0.9140416,0.56307587,-91283,-64649,206762,0.946106863,0.917046538,0.834444658
98.4631148,89.40059485,67.13816126,1.331591351,0.907960255,0.681861034,18719,13435,89594,0.93275027,0.913743349,0.823148795
109.6335597,99.42755291,73.73363429,1.348469445,0.906908005,0.672546203,-1373,322,31300,0.918883557,0.919319944,0.820875392
107.0669193,96.42571849,71.52286473,1.348180318,0.900611684,0.668020199,-107146,-24156,64756,0.947228521,0.936541342,0.854293926
99.61022749,93.69882043,84.88074528,1.103887815,0.940654617,0.852128817,-186639,-168290,-201934,0.960277165,0.944468651,0.939066522
98.26204409,90.73611959,76.44325791,1.186973476,0.923409648,0.77795306,-391968,-436465,-475519,0.942122194,0.96040527,0.89657069
88.89496888,87.6659689,67.69354656,1.295041749,0.986174696,0.761500312,-50618,-39344,2451,0.970324302,0.909699706,0.907657994
98.29705556,101.080192,76.25178249,1.325610874,1.028313528,0.775728042,-61585,-68031,-72426,0.959756777,0.895390411,0.910766376
106.4453426,96.19995976,82.3832008,1.167713306,0.903749825,0.773948383,-3181,363,-810,0.944433502,0.96113169,0.908415695
117.7007127,97.54327805,79.70557941,1.223794856,0.82873991,0.677188588,1603,13038,64520,0.949532911,0.983031479,0.920272968
87.585667,86.16332009,66.26356289,1.300312213,0.983760506,0.756557153,-67900,-79436,-213421,0.97684539,0.9494475,0.943249337
109.2336377,105.5800352,78.11896507,1.351528852,0.966552405,0.715154843,-392669,-251889,-263158,0.978081922,0.91004018,0.90435693
87.6153594,86.47647277,62.85576992,1.375792117,0.98700129,0.717405833,-32275,-28131,-141,0.982834346,0.885782654,0.893964257
117.5746176,113.4065675,92.77125258,1.222432212,0.964549746,0.7890415,-6904,-17196,-306797,0.988995287,0.936352506,0.930642695
84.44625673,78.33719854,56.98030553,1.374811837,0.927657442,0.674752295,-17770,-12572,-10966,0.968583133,0.95230506,0.94224989
102.3824083,101.7230386,81.45865613,1.248768927,0.993559737,0.795631374,-152510,-171760,-134977,0.957728283,0.923610655,0.939293387
107.7545548,106.7975477,82.8297593,1.289362044,0.991118639,0.76868917,-16109,-20477,-40120,0.973689156,0.925212156,0.919228842
153.5337998,130.7759463,110.8518434,1.179736324,0.851773007,0.722002866,-5368,2572,-8375,0.947486826,0.965752308,0.870011969
125.5319125,107.4673059,86.15209912,1.247413667,0.856095504,0.686296396,-421651,-489768,-692516,0.957591884,0.962752397,0.921578098
130.1052454,110.7816862,93.52368724,1.18453078,0.851477478,0.718831028,45,657,27531,0.963969651,0.966457968,0.883695336
95.55006902,88.07902131,64.86125965,1.357960388,0.921810128,0.6788196,-370721,-333176,-407533,0.944984649,0.893474202,0.899943423
120.3076039,106.3798872,81.22293066,1.309727269,0.884232449,0.675127158,-116609,-37364,29987,0.956389631,0.934949081,0.881114683
110.1700202,95.80956405,63.9399107,1.498431308,0.869651869,0.580374866,-49260,-27980,-26969,0.954949614,0.892571479,0.828428797
113.834648,97.5737333,76.23487749,1.279909361,0.857153204,0.669698364,731,1805,43536,0.965689771,0.948903243,0.883709022
98.85512667,91.83746994,68.43365671,1.341992732,0.929010695,0.692262091,-48618,-37337,-38200,0.940185988,0.910178987,0.88251522
108.7276232,95.18995371,68.04677544,1.39889,0.875490063,0.625846252,-435391,-443820,-448000,0.956931944,0.953440551,0.913379205
142.6014076,138.0110391,100.3392894,1.375443656,0.967809795,0.703634635,-4550,-1886,-55925,0.962570019,0.925968541,0.917893918
146.8905186,139.0522908,104.1191366,1.33551137,0.946638981,0.708821356,-10090,176,10075,0.944126363,0.917792827,0.89179012
148.0213505,139.240445,107.875402,1.290752501,0.940678115,0.728782717,-31128,-6819,-45738,0.926025203,0.905816987,0.847074658
108.9332123,104.9386308,86.78902641,1.209123263,0.963329995,0.796717774,-585,-550,5790,0.958427298,0.943458674,0.909939736
122.020135,115.9884057,93.3808689,1.242100304,0.950567754,0.765290654,-1638,-13823,-50074,0.968752569,0.93511033,0.912076845
120.2503652,109.7591947,84.80525747,1.294249884,0.912755603,0.705239084,-387538,-393408,-499407,0.941116533,0.948783758,0.919484541
136.3563929,127.204123,115.9342108,1.097209547,0.932879788,0.850229376,-792700,-639586,-522122,0.9865785,0.981330862,0.959971546
133.6685746,113.05919,94.0120887,1.202602682,0.845817278,0.703322295,-9756,562,8581,0.955293308,0.9593897,0.883465738
133.1444798,118.6383477,101.153326,1.172856617,0.891049692,0.759726022,-16934,-111035,-470678,0.961791322,0.961536987,0.888696298
136.2785988,136.6782337,103.4241611,1.321530987,1.002932485,0.758917115,-16272,-3546,-1931,0.962093273,0.937788838,0.889696665
139.9615468,140.4094222,107.9883134,1.300227939,1.003199989,0.771557016,-22283,-5659,-9597,0.970685118,0.9276843,0.893580158
145.8769494,144.479577,113.5897098,1.271942478,0.990420882,0.778667982,-12867,-2450,8771,0.958031955,0.937649759,0.900961761
144.6025461,137.990744,109.3874076,1.261486555,0.954276032,0.756469444,-22720,-3333,3181,0.95332684,0.943421993,0.938114922
121.628465,116.734664,88.88497286,1.313322829,0.959764345,0.730790879,-423607,-899864,-1438506,0.939907242,0.949013538,0.91967278
141.9803672,138.4350994,105.3598702,1.313926253,0.975029873,0.742073515,-15815,-37271,-42806,0.961729754,0.928589342,0.923888634
138.9433462,112.3915429,101.3226462,1.109244054,0.808901944,0.729237124,-484961,-549339,-731934,0.969728775,0.987377018,0.938931116
