f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
166.59,181.38,71.366,9.8253,1.1858,0.19279,167.59,182.38,72.374,0.84607,0.67556,0.67503
152.28,169.63,18.912,131.38,1.241,0.018046,153.28,170.63,20.011,0.82864,0.5466,0.6196
159.64,174.39,47.405,32.702,1.1935,0.10071,160.64,175.39,48.45,0.87414,0.75833,0.75184
149.81,166.84,17.571,129.25,1.2405,0.015355,150.81,167.84,18.668,0.8526,0.58919,0.63699
155.65,194.2,62.118,9.9776,2.0991,0.29996,156.65,195.2,63.118,0.84963,0.28489,0.33682
105.55,159.55,57.664,7.7582,3.648,0.56223,106.55,160.55,58.664,0.79166,0.27084,0.26882
137.43,181.19,66.588,7.5113,2.5725,0.43904,138.43,182.19,67.588,0.84726,0.31562,0.38677
114.12,166.26,67.311,6.1666,3.0705,0.5205,115.12,167.26,68.311,0.8582,0.35627,0.41182
125.29,177.93,128.68,2.0869,2.2132,1.4022,126.31,178.88,129.94,0.78983,0.63488,0.51723
140.52,183.92,98.769,3.6472,1.7594,0.52815,141.65,182.34,102.72,0.9178,0.76229,0.75222
160.85,206.37,131.06,2.6023,1.6463,0.66651,161.86,207.24,133.22,0.62142,0.54392,0.47946
152.01,192.32,93.866,4.8259,1.6013,0.38989,154.07,186.82,106.01,0.89388,0.84911,0.79571
79.181,120.2,87.193,1.9252,2.5222,1.4042,80.181,121.2,88.193,0.82238,0.72079,0.68886
77.188,121.56,96.538,1.6563,2.5617,1.7312,78.188,122.56,97.538,0.76687,0.72073,0.69093
122.1,169.54,121.84,1.9367,1.9285,0.99585,123.1,170.54,122.84,0.81219,0.82988,0.78971
108.2,155.61,111.57,1.9462,2.0742,1.0669,109.2,156.61,112.57,0.82141,0.80799,0.773
84.909,124.34,126.19,0.97622,2.1528,2.2155,85.909,125.34,127.19,0.44091,0.698,0.50457
98.704,143.95,144.29,0.99355,2.3415,2.3887,99.706,144.95,145.29,0.74944,0.89752,0.70561
77.143,116.43,106.41,1.2626,2.2876,1.8995,78.143,117.43,107.41,0.6282,0.30764,0.44875
93.041,136.52,140.79,0.93457,2.4805,2.7019,94.054,137.52,141.79,0.87251,0.91941,0.84791
108.22,158.41,155.17,1.0398,2.4497,2.3919,109.22,159.41,156.17,0.66562,0.8673,0.70772
77.608,130.14,126.44,1.0621,2.914,2.7719,78.608,131.14,127.44,0.44939,0.8208,0.47657
